density,seed,delta_requested,delta_actual,transmitted,err_m,r_err,feat0_next,next_obs_present
5.0,2001,1.139287155725648,1.2000000000000028,1,0.5752859964325125,0.0007771175477914856,0.0018787278095260262,1
5.0,2001,0.5078912968028503,0.6000000000000085,1,0.05664057333888195,5.320988968155337e-06,1.8245691535412334e-05,1
5.0,2001,1.5636403076669778,1.6000000000000085,1,0.1331219241720305,6.28990142829992e-05,0.0001007786049740389,1
5.0,2001,1.2462896331718463,1.3000000000000114,1,0.039532226355731837,5.5005448416521565e-06,8.888155207387172e-06,1
5.0,2001,2.0178339957153137,2.0999999999999943,1,0.03982648030932978,9.161620910649694e-06,9.02096235222416e-06,1
5.0,2001,16.090381190842013,16.10000000000001,1,78.8677462609952,7.146291903040962,0.9725095629692078,1
5.0,2001,0.45883586098335294,0.5,1,0.01636046743243469,1.62120923926809e-06,1.5223121181406896e-06,1
5.0,2001,0.4401017865650836,0.5,1,0.02249144607390008,5.82908406269006e-07,2.87704369839048e-06,1
5.0,2001,20.754560958985135,20.799999999999997,1,44.689981365392555,10.575933554144566,0.9190861582756042,1
5.0,2001,22.548767874190595,22.599999999999994,1,0.8974898557582378,0.03239293008298119,0.0045602330937981606,1
5.0,2001,3.1399272459484195,3.200000000000003,1,0.12321584801702556,8.230274733693097e-05,8.633931429358199e-05,1
5.0,2001,35.960008379057044,36.0,1,135.82634648551118,17.547227042281936,0.9905593991279602,1
5.0,2001,0.6500585306827684,0.7000000000000028,1,5.491362867360294e-05,3.828166982057622e-08,1.7150359257755987e-11,1
5.0,2001,0.2905732215983858,0.29999999999999716,1,0.005787671189807497,6.916279142735525e-08,1.905112299027678e-07,1
5.0,2001,2.234568877453799,2.299999999999997,1,0.03688728258094898,5.42761469838788e-06,7.738609383522999e-06,1
5.0,2001,15.772789599621548,3.799999999999997,0,0.0,9.755636030414062e-05,nan,0
5.0,2001,1.1422714997546461,1.1999999999999886,1,0.01602634571827366,4.3100289245666335e-07,1.4607683169742813e-06,1
5.0,2001,0.9233581107346358,1.0,1,1.0986897604453816,0.007145955250219493,0.006818545050919056,1
5.0,2001,23.971985631390407,24.0,1,17.271948374012595,5.273575472588009,0.6291713118553162,1
5.0,2001,6.481012187138785,6.5,1,29.022317452430343,1.2657554778925992,0.827302098274231,1
5.0,2001,0.20488494597488785,0.29999999999999716,1,0.09015638667852954,5.6846362180885815e-06,4.62259522464592e-05,1
