Time,REMO-DQN,Fixed 10Hz,ReactDCC,AdaptDCC,MoEDQN,MAPPO,PPO,SAC,DDPG,TD3,DuelingDQN,DoubleDQN,VanillaDQN,QLearning,SARSA,ActorCritic,DecisionTransformer
14,0.0953,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
15,0.0695,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
16,0.0978,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
17,0.0702,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
18,0.0779,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
19,0.0795,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
20,0.093,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
21,0.0787,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
22,0.0782,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
23,0.0755,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
24,0.0703,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
25,0.0661,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
26,0.0898,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
27,0.091,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
28,0.0631,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
29,0.0734,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
30,0.0644,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
31,0.0764,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
32,0.0925,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
33,0.0787,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
34,0.0745,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
35,0.0773,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
36,0.062,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
37,0.0638,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
38,0.0741,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
39,0.0888,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
40,0.0654,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
41,0.0741,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
42,0.0898,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
43,0.0622,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
44,0.0639,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
45,0.0602,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
46,0.0723,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
47,0.0624,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
48,0.0629,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
49,0.0605,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
50,0.0759,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
51,0.0701,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
52,0.08,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
53,0.0835,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
54,0.0736,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
55,0.06,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
56,0.0742,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0548,0.0873,0.0882,0.0882,0.0882,0.0285,0.0882,0.0869,0.0882,0.0726,0.0424,0.0882,0.0548
57,0.0722,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
58,0.0597,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
59,0.0865,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
60,0.0623,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
61,0.0846,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
62,0.0623,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
63,0.085,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0556,0.0884,0.0893,0.0893,0.0893,0.0291,0.0893,0.088,0.0893,0.0737,0.0428,0.0893,0.0556
64,0.084,0.08628333333333334,0.08628333333333334,0.08628333333333334,0.0447,0.0721,0.073,0.073,0.073,0.0228,0.073,0.0714,0.073,0.0584,0.0427,0.073,0.0447
