scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CHR,CDSR,AoI_violation_rate,PCO,RLBI
A,Nam2025,1,0,3.0,5,44,0.43852,0.004465,0.034102,0.165843,0.989801
A,Nam2025,1,0,3.0,5,45,0.438272,0.004431,0.03425,0.164977,0.989865
A,Nam2025,1,0,3.0,5,46,0.438622,0.004476,0.034141,0.165039,0.989785
A,Nam2025,1,0,3.0,5,47,0.438194,0.004496,0.034129,0.165095,0.989803
A,Nam2025,1,0,3.0,5,48,0.438246,0.004518,0.03415,0.165056,0.989722
A,Nam2025,1,0,3.0,5,49,0.438398,0.004418,0.034107,0.166423,0.989926
A,Nam2025,1,0,3.0,5,50,0.438291,0.00442,0.034091,0.16428,0.989885
A,Nam2025,1,0,3.0,5,51,0.438268,0.004438,0.034248,0.16625,0.98986
A,Youn2026,1,0,3.0,5,42,0.438361,0.004478,0.034206,0.165353,0.989768
A,Youn2026,1,0,3.0,5,43,0.438181,0.004466,0.034234,0.164757,0.989824
A,Youn2026,1,0,3.0,5,44,0.43852,0.004465,0.034102,0.165843,0.989801
A,Youn2026,1,0,3.0,5,45,0.438272,0.004431,0.03425,0.164977,0.989865
A,Youn2026,1,0,3.0,5,46,0.438622,0.004476,0.034141,0.165039,0.989785
A,Youn2026,1,0,3.0,5,47,0.438194,0.004496,0.034129,0.165095,0.989803
A,Youn2026,1,0,3.0,5,48,0.438246,0.004518,0.03415,0.165056,0.989722
A,Youn2026,1,0,3.0,5,49,0.438398,0.004418,0.034107,0.166423,0.989926
A,Youn2026,1,0,3.0,5,50,0.438291,0.00442,0.034091,0.16428,0.989885
A,Youn2026,1,0,3.0,5,51,0.438268,0.004438,0.034248,0.16625,0.98986
A,V2I-Base,1,0,3.0,5,42,0.438361,0.004478,0.034206,0.165353,0.989768
A,V2I-Base,1,0,3.0,5,43,0.438181,0.004466,0.034234,0.164757,0.989824
A,V2I-Base,1,0,3.0,5,44,0.43852,0.004465,0.034102,0.165843,0.989801
A,V2I-Base,1,0,3.0,5,45,0.438272,0.004431,0.03425,0.164977,0.989865
A,V2I-Base,1,0,3.0,5,46,0.438622,0.004476,0.034141,0.165039,0.989785
A,V2I-Base,1,0,3.0,5,47,0.438194,0.004496,0.034129,0.165095,0.989803
A,V2I-Base,1,0,3.0,5,48,0.438246,0.004518,0.03415,0.165056,0.989722
A,V2I-Base,1,0,3.0,5,49,0.438398,0.004418,0.034107,0.166423,0.989926
A,V2I-Base,1,0,3.0,5,50,0.438291,0.00442,0.034091,0.16428,0.989885
A,V2I-Base,1,0,3.0,5,51,0.438268,0.004438,0.034248,0.16625,0.98986
A,V2V-Base,1,0,3.0,5,42,0.999325,0.694545,4e-06,4.46919,0.989768
