Time,VehicleID,X,Y,Z,State
66.0,V4,3573.2,401.2,155.9,CRUISE
67.0,V1,3055.7,-224.8,147.0,CRUISE
67.0,V2,3344.0,34.2,150.6,CRUISE
67.0,V3,1786.8,1146.4,200.0,CRUISE
67.0,V4,3607.3,431.3,153.7,CRUISE
68.0,V1,3037.1,-241.6,147.1,CRUISE
68.0,V2,3306.8,0.7,150.0,CRUISE
68.0,V3,1808.2,1101.2,200.0,CRUISE
68.0,V4,3639.4,460.0,151.3,CRUISE
69.0,V1,3020.3,-256.6,147.3,CRUISE
69.0,V2,3271.4,-31.0,149.4,CRUISE
69.0,V3,1829.5,1056.0,200.0,CRUISE
69.0,V4,3669.7,487.0,149.0,DESCENT
70.0,V1,3005.5,-270.0,147.6,CRUISE
70.0,V2,3238.0,-61.1,148.9,CRUISE
70.0,V3,1850.9,1010.8,200.0,CRUISE
70.0,V4,3698.1,512.3,146.8,CRUISE
71.0,V1,2992.4,-281.7,147.9,CRUISE
71.0,V2,3206.3,-89.5,148.4,CRUISE
71.0,V3,1872.3,965.6,200.0,CRUISE
71.0,V4,3724.6,536.0,144.7,CRUISE
72.0,V1,2981.3,-291.7,148.3,CRUISE
72.0,V2,3176.6,-116.2,148.0,CRUISE
72.0,V3,1893.7,920.4,200.0,CRUISE
72.0,V4,3749.2,558.0,142.9,CRUISE
73.0,V1,2971.9,-300.1,148.8,CRUISE
73.0,V2,3148.7,-141.3,147.6,CRUISE
73.0,V3,1915.1,875.2,200.0,CRUISE
73.0,V4,3772.0,578.4,141.2,CRUISE
74.0,V1,2964.5,-306.8,149.3,CRUISE
74.0,V2,3122.7,-164.7,147.3,CRUISE
74.0,V3,1936.4,830.0,200.0,CRUISE
74.0,V4,3792.9,597.1,139.8,CRUISE
75.0,V1,2958.9,-311.8,149.8,CRUISE
75.0,V2,3098.5,-186.4,147.1,CRUISE
75.0,V3,1957.8,784.8,200.0,CRUISE
75.0,V4,3812.0,614.1,138.5,CRUISE
76.0,V1,2955.2,-315.2,150.2,CRUISE
76.0,V2,3076.2,-206.5,147.0,CRUISE
76.0,V3,1979.2,739.6,200.0,CRUISE
76.0,V4,3829.2,629.5,137.5,CRUISE
77.0,V1,2953.3,-316.8,150.7,CRUISE
77.0,V2,3055.7,-224.8,147.0,CRUISE
77.0,V3,2000.6,694.4,200.0,CRUISE
77.0,V4,3844.5,643.3,136.6,CRUISE
78.0,V1,2953.3,-316.9,151.1,CRUISE
78.0,V2,3037.1,-241.6,147.1,CRUISE
78.0,V3,2021.9,649.2,200.0,CRUISE
78.0,V4,3858.0,655.4,136.0,CRUISE
79.0,V1,2955.1,-315.2,151.4,CRUISE
79.0,V2,3020.3,-256.6,147.3,CRUISE
79.0,V3,2043.3,604.0,200.0,CRUISE
79.0,V4,3869.6,665.8,135.6,CRUISE
80.0,V1,2958.8,-311.9,151.7,CRUISE
80.0,V2,3005.5,-270.0,147.6,CRUISE
80.0,V3,2064.7,558.8,200.0,CRUISE
80.0,V4,3879.4,674.6,135.4,CRUISE
81.0,V1,2964.4,-306.9,151.8,CRUISE
81.0,V2,2992.4,-281.7,147.9,CRUISE
81.0,V3,2085.0,515.8,199.9,DESCENT
81.0,V4,3887.3,681.7,135.3,CRUISE
82.0,V1,2971.8,-300.2,151.8,CRUISE
82.0,V2,2981.3,-291.7,148.3,CRUISE
82.0,V3,2104.3,475.2,199.6,CRUISE
82.0,V4,3893.3,687.1,135.5,CRUISE
83.0,V1,2981.1,-291.9,151.7,CRUISE
83.0,V2,2971.9,-300.1,148.8,CRUISE
83.0,V3,2122.4,436.7,199.3,CRUISE
83.0,V4,3897.5,690.9,135.9,CRUISE
84.0,V1,2992.2,-281.9,151.5,CRUISE
84.0,V2,2964.5,-306.8,149.3,CRUISE
84.0,V3,2139.5,400.6,199.0,CRUISE
