episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates,wiring_neighbourhood_used,wiring_neighbourhood_used_n,wiring_behaviour_logp_stored,wiring_behaviour_logp_stored_n,wiring_policy_synced,wiring_policy_synced_n
24,48000,15.0,-0.042558,-0.290013,-0.042558,,,,0,False,-0.04028,0.0827,0.0507921171556465,432,11756,432,587,7.5998,6.8146,2078,2078,ok,,4.451,19.5,6.9687,0.0993,1.7895,92.1151,1.2263,2.0256,12.6938,0.02029,0.9491,0.5461,2045,203,0,0.264889,825893,3117880,5.3616,1842,0,143284,236,0.001147,0.00784,432,1.0,432,1.0,432,0.25,432
25,50000,20.0,-0.042123,-0.294463,-0.042123,,,,0,False,-0.04028,0.077,0.05859860232241858,608,12364,608,618,7.6249,6.9906,3092,3089,ok,,4.6071,21.4,7.112,0.1057,1.7721,100.5562,1.1959,2.1169,12.4376,0.028194,0.9419,0.665,3102,328,3,0.251372,1072998,4268574,5.3667,2774,0,218517,315,0.001738,0.00784,608,1.0,608,1.0,608,0.25,608
26,52000,25.0,-0.046455,-0.297662,-0.046455,,,,0,False,-0.04028,0.0738,0.0547227687140721,839,13203,839,660,6.9216,6.4075,4424,4420,ok,,4.1925,30.4,6.5794,0.1675,1.8879,88.2928,1.1264,2.5473,12.1388,0.040363,0.9395,0.6776,4830,809,11,0.252875,1376370,5442882,5.249,4021,0,287026,392,0.002707,0.0112,839,1.0,839,1.0,839,0.24910607866507747,839
27,54000,30.0,-0.045554,-0.311368,-0.045554,,,,0,False,-0.04028,0.0645,0.053247057351279554,713,13916,713,695,7.3581,6.8351,3691,3690,ok,,4.465,34.3,6.9694,0.1875,2.0262,104.3733,1.0065,2.8603,11.92,0.031778,0.9237,0.623,4113,771,14,0.285548,1748377,6122888,5.7085,3342,0,255376,335,0.002304,0.00784,713,1.0,713,1.0,713,0.25105189340813466,713
28,56000,35.0,-0.04403,-0.292314,-0.04403,,,,0,False,-0.04028,0.0952,0.05837774892826136,832,14748,832,737,7.1278,6.639,4465,4462,ok,,4.3414,38.6,6.811,0.1716,1.9182,139.7359,1.0329,2.6232,11.7876,0.03647,0.9356,0.5957,4888,839,8,0.302772,1907024,6298544,5.2923,4049,0,300071,408,0.002739,0.0112,832,1.0,832,1.0,832,0.25,832
29,58000,5.0,-0.029979,-0.199276,-0.029979,,,,0,False,-0.04028,0.1094,0.07407541817478218,143,14891,143,744,7.6516,6.6472,540,540,ok,,4.6315,19.8,6.6856,0.0492,0.9702,59.3435,0.4806,1.055,12.2028,0.004208,0.9203,0.5224,488,24,0,0.287625,283568,985895,3.4031,464,0,36302,76,0.000273,0.00336,143,1.0,143,1.0,143,0.24475524475524477,143
30,60000,10.0,-0.033206,-0.222752,-0.033206,-0.03625,-0.228184,20.0,3295,True,-0.03625,0.0787,0.06443121525819599,353,15244,353,762,7.5924,6.7081,1635,1634,ok,,4.5653,20.7,6.7849,0.1024,1.198,90.5019,0.9576,1.2667,11.8976,0.012419,0.9331,0.551,1611,165,2,0.276162,624942,2262953,4.1205,1446,0,110932,187,0.000902,0.0056,353,1.0,353,1.0,353,0.2521246458923513,353
31,62000,15.0,-0.038799,-0.254048,-0.038799,,,,0,False,-0.03625,0.0758,0.06635919792383842,436,15680,436,784,7.4366,6.5479,2142,2141,ok,,4.4601,20.7,6.6369,0.0773,1.6106,104.3529,1.0113,1.8304,11.9307,0.015938,0.9346,0.5056,2032,157,0,0.263689,876826,3325229,5.0718,1875,0,141891,267,0.00114,0.00672,436,1.0,436,1.0,436,0.25,436
32,64000,20.0,-0.042146,-0.265886,-0.042146,,,,0,False,-0.03625,0.0658,0.06445177523119813,682,16362,682,818,6.882,6.3088,3555,3553,ok,,4.2148,21.0,6.3796,0.1395,1.8451,125.1258,1.0064,2.3025,11.5873,0.026378,0.9496,0.6178,3743,522,3,0.251138,1051537,4187083,5.1661,3221,0,227169,331,0.002096,0.00896,682,1.0,682,1.0,682,0.24926686217008798,682
33,66000,25.0,-0.039412,-0.260805,-0.039412,,,,0,False,-0.03625,0.0844,0.06626516693444731,763,17125,763,856,7.0619,6.6174,3930,3927,ok,,4.3678,27.8,6.6953,0.1977,1.62,110.4531,1.0503,2.0482,11.3593,0.029193,0.9541,0.6589,4482,886,12,0.257406,1364732,5301859,4.6229,3596,0,263285,322,0.00251,0.0112,763,1.0,763,1.0,763,0.2503276539973788,763
34,68000,30.0,-0.042879,-0.286547,-0.042879,,,,0,False,-0.03625,0.0691,0.0593446439437884,863,17988,863,899,7.1642,6.6826,4569,4568,ok,,4.4446,21.1,6.7551,0.1747,1.8815,97.1729,1.0013,2.6936,11.3396,0.03263,0.9548,0.6505,5048,882,11,0.271168,1622825,5984579,5.1342,4166,0,309229,392,0.002829,0.01008,863,1.0,863,1.0,863,0.25028968713789107,863
35,70000,35.0,-0.040189,-0.268798,-0.040189,,,,0,False,-0.03625,0.0811,0.06488553521536636,812,18800,812,940,7.1762,6.6884,4261,4259,ok,,4.4364,24.7,6.7771,0.2147,1.7594,103.709,0.9699,2.4468,11.1294,0.030022,0.9428,0.6585,4942,1061,15,0.299458,1904299,6359143,5.0296,3881,0,288545,365,0.002769,0.01008,812,1.0,812,1.0,812,0.25,812
36,72000,5.0,-0.038755,-0.245068,-0.038755,,,,0,False,-0.03625,0.0654,0.05430506824931151,222,19022,222,951,7.1046,6.3235,974,973,ok,,4.4181,19.4,6.2914,0.077,1.6975,101.5472,1.1722,1.8223,11.683,0.006607,0.9492,0.5153,922,71,1,0.280066,325462,1162090,5.2317,851,0,62295,122,0.000517,0.00448,222,1.0,222,1.0,222,0.24774774774774774,222
37,74000,10.0,-0.036838,-0.232936,-0.036838,,,,0,False,-0.03625,0.0883,0.06547404984154423,336,19358,336,967,7.0995,6.3232,1499,1499,ok,,4.3522,18.7,6.3366,0.0896,1.516,90.2731,0.9711,1.6979,11.5579,0.009949,0.936,0.623,1451,130,1,0.275735,593604,2152807,5.0046,1321,0,95975,177,0.000814,0.0056,336,1.0,336,1.0,336,0.25,336
38,76000,15.0,-0.039508,-0.258132,-0.039508,,,,0,False,-0.03625,0.0853,0.0707937769640584,467,19825,467,991,7.3309,6.5336,2217,2217,ok,,4.4555,19.1,6.5838,0.1001,1.8067,91.7396,1.0969,2.127,11.3649,0.01414,0.9502,0.5253,2187,219,1,0.262457,848208,3231799,5.4978,1968,0,146656,247,0.001225,0.00672,467,1.0,467,1.0,467,0.2505353319057816,467
39,78000,20.0,-0.036721,-0.238194,-0.036721,,,,0,False,-0.03625,0.0794,0.07009265019055463,689,20514,689,1025,7.0254,6.4866,3564,3562,ok,,4.3612,21.9,6.6212,0.166,1.5045,115.7559,1.0177,1.8258,11.163,0.023663,0.9508,0.512,3861,641,6,0.255131,1096396,4297387,4.5351,3220,0,234086,337,0.002164,0.00896,689,1.0,689,1.0,689,0.24963715529753266,689
40,80000,25.0,-0.040387,-0.266395,-0.040387,-0.036339,-0.262686,20.0,2875,False,-0.03625,0.0921,0.06795087071997855,836,21350,836,1067,7.1348,6.596,4460,4457,ok,,4.4681,25.0,6.6878,0.1569,1.7456,105.0253,0.9391,2.4004,11.0793,0.02868,0.9554,0.5427,4798,753,8,0.256136,1378108,5380384,5.2402,4045,0,297801,407,0.002687,0.01008,836,1.0,836,1.0,836,0.25,836
41,82000,30.0,-0.039674,-0.264408,-0.039674,,,,0,False,-0.03625,0.0896,0.07095389453990454,795,22145,795,1107,7.1209,6.6645,4157,4157,ok,,4.4654,35.8,6.7987,0.2263,1.7618,127.6181,1.0113,2.481,10.8737,0.027528,0.9509,0.565,4900,1109,22,0.281755,1719133,6101522,4.8635,3791,0,280653,344,0.002747,0.00896,795,1.0,795,1.0,795,0.25031446540880503,795
42,84000,35.0,-0.039346,-0.256151,-0.039346,,,,0,False,-0.03625,0.174,0.07113161144438085,816,22961,816,1148,6.9885,6.5102,4272,4269,ok,,4.3553,21.7,6.6023,0.2239,1.7148,115.0752,0.8917,2.4466,10.8129,0.027762,0.9516,0.5992,5015,1123,12,0.295662,1870822,6327567,4.9256,3892,0,281622,367,0.002812,0.00896,816,1.0,816,1.0,816,0.25,816
43,86000,5.0,-0.034208,-0.22546,-0.034208,,,,0,False,-0.03625,0.0853,0.06578493289423386,186,23147,186,1157,7.6167,6.5909,772,772,ok,,4.5894,20.6,6.5478,0.0705,1.4684,95.9761,0.7052,1.6477,11.1231,0.004339,0.9287,0.4754,723,51,0,0.290051,328266,1131751,4.6968,672,0,51474,100,0.000406,0.00448,186,1.0,186,1.0,186,0.24731182795698925,186
44,88000,10.0,-0.032545,-0.221712,-0.032545,,,,0,False,-0.03625,0.0958,0.0685193885079811,322,23469,322,1173,7.4954,6.8126,1465,1464,ok,,4.761,22.8,6.6074,0.1049,1.3646,84.6485,1.0874,1.4272,11.0426,0.008454,0.95,0.5886,1440,151,0,0.276372,597429,2161682,4.5447,1289,0,100892,176,0.000809,0.00672,322,1.0,322,1.0,322,0.2515527950310559,322
45,90000,15.0,-0.038178,-0.253916,-0.038178,,,,0,False,-0.03625,0.1304,0.07679499443607735,461,23930,461,1196,7.4127,6.6508,2288,2288,ok,,4.6236,24.1,6.6651,0.0947,1.7942,90.5307,1.0454,1.984,10.9679,0.012824,0.9582,0.613,2227,211,1,0.263399,871929,3310294,5.5148,2016,0,154006,270,0.001248,0.00896,461,1.0,461,1.0,461,0.24945770065075923,461
46,92000,20.0,-0.039424,-0.256855,-0.039424,,,,0,False,-0.03625,0.0964,0.08009776327797746,710,24640,710,1232,7.0484,6.5152,3655,3654,ok,,4.51,43.9,6.581,0.1842,1.754,100.233,1.1882,2.0921,10.7493,0.021873,0.9428,0.5356,4029,742,14,0.254302,1132966,4455202,4.8581,3287,0,241166,354,0.002258,0.01008,710,1.0,710,1.0,710,0.2507042253521127,710
