model,trial,recorded_value,penalised_trial,mean_error,mean_aoi,coverage_outage_rate,packet_loss_rate,avg_power_norm,old_score,new_score,delta
RES-MAPDDPG,12,10.009276,False,7.5183,3.8624,0.2621,0.2109,0.178,10.0093,9.9069,-0.1024
RES-MAPDDPG,13,17.353429333333334,False,13.8465,5.9228,0.2621,0.2192,0.1065,17.3534,17.2676,-0.0858
RES-MAPDDPG,14,15.603556000000005,False,11.9478,6.1437,0.2621,0.1373,0.2986,15.60357,15.35397,-0.2496
SAC,0,20.321152666666663,False,15.9722,7.4676,0.2621,0.1008,0.455,20.3212,19.9986,-0.3226
SAC,1,16.516592666666668,False,12.5056,6.7917,0.2621,0.1022,0.4549,16.51663,16.19683,-0.3198
SAC,2,19.912666,False,15.3287,7.9313,0.2621,0.0884,0.4707,19.91269,19.56529,-0.3474
SAC,3,21.432346,False,16.8049,8.0221,0.2621,0.0981,0.4608,21.43231,21.10431,-0.328
SAC,4,17.532719333333333,False,13.085,7.664,0.2621,0.1054,0.4575,17.5327,17.2193,-0.3134
SAC,5,18.870636,False,14.6071,7.2952,0.2621,0.1021,0.459,18.8707,18.5507,-0.32
SAC,6,18.857306,False,14.2834,7.915,0.2621,0.0911,0.4609,18.85728,18.51528,-0.342
SAC,7,18.949846,False,14.5113,7.6421,0.2621,0.1003,0.4663,18.94981,18.62621,-0.3236
SAC,8,17.719686,False,13.5914,7.0256,0.2621,0.1013,0.4565,17.7197,17.3981,-0.3216
SAC,9,19.142879333333337,False,14.712,7.6227,0.2621,0.1002,0.4768,19.14291,18.81911,-0.3238
SAC,10,17.886456,False,13.6716,7.2031,0.2621,0.0984,0.4458,17.88651,17.55911,-0.3274
SAC,11,15.331506,False,11.5026,6.4399,0.2621,0.1145,0.4241,15.33157,15.03637,-0.2952
SAC,12,18.191266,False,14.1666,6.8253,0.2621,0.0955,0.4391,18.19127,17.85807,-0.3332
SAC,13,16.02918933333333,False,11.9491,6.9318,0.2621,0.0927,0.4503,16.02926,15.69046,-0.3388
SAC,14,20.066759333333334,False,15.8104,7.2836,0.2621,0.0984,0.4519,20.06678,19.73938,-0.3274
