Episode,Global_Step,REMO-DQN,wo_ResNet,wo_MoE,wo_Dueling
69,138000,-884639.3088581729,-882479.2311609366,-882471.5311542071,-982278.530092272
70,140000,-941072.4001487864,-941067.5519766732,-897625.4568551248,-895440.9598666524
71,142000,-1059662.470606764,-945733.2320561678,-947873.4811903676,-979579.203631697
72,144000,-915055.4868202852,-915061.4894144356,-915060.3888948424,-962788.5527074938
73,146000,-859723.4146196345,-861500.7232454893,-959993.917291812,-861075.3734877523
74,148000,-959114.8697474278,-912561.643750093,-1019477.6170845884,-959962.0594793038
75,150000,-918439.263645998,-961258.0908025728,-961259.6531640772,-918455.578148974
76,152000,-894469.2041716039,-940581.2763771666,-1000659.039831473,-894459.6919511736
77,154000,-853079.5884064961,-855532.4931478673,-895650.6617148774,-858673.3165999632
78,156000,-880012.0585086903,-877658.9250329541,-880009.0349790168,-877660.2796216229
79,158000,-855484.9544941408,-853689.589528788,-853694.3785404959,-950842.5485141427
80,160000,-850665.0950059118,-949014.0677346018,-850671.1471335337,-891852.7917550282
81,162000,-936870.5453385812,-939024.4140447862,-985074.4695491056,-1048497.0498746368
82,164000,-864566.2824921838,-904969.4680855968,-862694.8352006644,-904791.7579013056
83,166000,-928984.1703142652,-928988.9605471608,-886332.6796427123,-910865.1306741956
84,168000,-912688.1474660118,-912685.0569735433,-1022660.7852834004,-912677.9348818436
85,170000,-937822.6033045092,-893490.6481951374,-940401.8283821896,-982138.001403822
86,172000,-868888.2761979796,-870976.4266123635,-868887.5374133962,-868885.0605605242
87,174000,-922321.3258655168,-981431.9960173966,-977407.8520144868,-879855.7418815473
88,176000,-924496.5008542392,-983871.241831146,-882711.8547066891,-880923.8351430626
89,178000,-851435.1028769348,-849555.5524583338,-849547.1236722375,-890313.1971437087
90,180000,-1060602.120733722,-947702.2698568716,-947889.0699537538,-947704.1976621272
91,182000,-874966.1226545695,-877186.1192737705,-920292.7275227978,-891804.021136635
92,184000,-919068.9304518818,-1029038.3603075872,-966196.936586233,-919074.7784535764
93,186000,-925151.3772629777,-972947.8257488076,-925160.7147647291,-1029204.0704713628
94,188000,-916214.6089928574,-916223.9952301148,-962104.9634599576,-917861.3619637012
95,190000,-937457.1827032444,-881756.6013173142,-937451.0945721702,-846556.833559108
96,192000,-904657.7964777316,-904649.7830994584,-904656.3464442174,-902298.337022135
97,194000,-931696.2752075144,-929570.4954449036,-931699.1393792104,-931312.6625266272
98,196000,-978325.7229472102,-877689.7014255638,-917164.9285697426,-919738.1567425128
99,198000,-1003921.8329904656,-899597.9387430671,-900575.9470660961,-906785.5758132682
100,200000,-901655.5818144488,-899871.1635328081,-931676.6445363554,-1005293.027973882
