method,n_vehicles,seed,runtime_sec,n_cam_events,CBR_mean,AoI_mean,PDR_mean,energy_efficiency,ETSI_compliance,timestamp
ReactDCC,99,42,0.25,2005,0.0075,332.872,66.43,28.0278,100.0,1785735359.8758917
AdaptDCC,28,42,0.37,2005,0.0075,332.872,99.66,28.0278,100.0,1785735360.2998908
AdaptDCC,10,42,0.39,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.3204503
AdaptDCC,14,42,0.4,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.3263412
AdaptDCC,44,42,0.4,2005,0.0075,332.872,91.91,28.0278,100.0,1785735360.3301716
AdaptDCC,38,42,0.41,2005,0.0075,332.872,96.16,28.0278,100.0,1785735360.3413155
AdaptDCC,26,42,0.42,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.346522
AdaptDCC,20,42,0.42,2005,0.0075,332.872,99.96,28.0278,100.0,1785735360.3495765
AdaptDCC,46,42,0.42,2005,0.0075,332.872,92.22,28.0278,100.0,1785735360.3516774
AdaptDCC,18,42,0.43,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.354384
AdaptDCC,34,42,0.43,2005,0.0075,332.872,98.53,28.0278,100.0,1785735360.356066
AdaptDCC,16,42,0.43,2005,0.0075,332.872,99.72,28.0278,100.0,1785735360.3562748
AdaptDCC,12,42,0.44,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.361682
AdaptDCC,22,42,0.44,2005,0.0075,332.872,99.93,28.0278,100.0,1785735360.3630466
AdaptDCC,32,42,0.44,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.368998
AdaptDCC,24,42,0.45,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.3797178
AdaptDCC,40,42,0.45,2005,0.0075,332.872,95.52,28.0278,100.0,1785735360.3806272
AdaptDCC,36,42,0.46,2005,0.0075,332.872,96.69,28.0278,100.0,1785735360.3861425
AdaptDCC,48,42,0.46,2005,0.0075,332.872,90.57,28.0278,100.0,1785735360.391841
AdaptDCC,42,42,0.48,2005,0.0075,332.872,94.58,28.0278,100.0,1785735360.4054277
AdaptDCC,30,42,0.48,2005,0.0075,332.872,99.99,28.0278,100.0,1785735360.406114
AdaptDCC,39,42,0.41,2005,0.0075,332.872,95.82,28.0278,100.0,1785735360.752432
AdaptDCC,11,42,0.43,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.7561555
AdaptDCC,15,42,0.43,2005,0.0075,332.872,99.39,28.0278,100.0,1785735360.7570858
AdaptDCC,35,42,0.4,2005,0.0075,332.872,97.86,28.0278,100.0,1785735360.7575774
AdaptDCC,29,42,0.46,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.7633438
AdaptDCC,45,42,0.44,2005,0.0075,332.872,92.91,28.0278,100.0,1785735360.7733016
AdaptDCC,23,42,0.42,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.7869198
AdaptDCC,21,42,0.44,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.7875285
AdaptDCC,33,42,0.43,2005,0.0075,332.872,98.01,28.0278,100.0,1785735360.79648
AdaptDCC,37,42,0.41,2005,0.0075,332.872,96.32,28.0278,100.0,1785735360.8011706
AdaptDCC,13,42,0.44,2005,0.0075,332.872,99.64,28.0278,100.0,1785735360.8023844
AdaptDCC,41,42,0.42,2005,0.0075,332.872,95.54,28.0278,100.0,1785735360.8042183
AdaptDCC,19,42,0.46,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.8116188
AdaptDCC,49,42,0.42,2005,0.0075,332.872,90.66,28.0278,100.0,1785735360.8129232
AdaptDCC,17,42,0.46,2005,0.0075,332.872,99.3,28.0278,100.0,1785735360.8129194
AdaptDCC,31,42,0.42,2005,0.0075,332.872,99.31,28.0278,100.0,1785735360.8276415
AdaptDCC,27,42,0.48,2005,0.0075,332.872,99.5,28.0278,100.0,1785735360.828177
AdaptDCC,47,42,0.49,2005,0.0075,332.872,90.57,28.0278,100.0,1785735360.8379054
AdaptDCC,43,42,0.48,2005,0.0075,332.872,93.99,28.0278,100.0,1785735360.8902278
AdaptDCC,25,42,0.53,2005,0.0075,332.872,100.0,28.0278,100.0,1785735360.9146678
AdaptDCC,60,42,0.41,2005,0.0075,332.872,85.37,28.0278,100.0,1785735361.1875489
AdaptDCC,50,42,0.45,2005,0.0075,332.872,90.33,28.0278,100.0,1785735361.200986
AdaptDCC,68,42,0.41,2005,0.0075,332.872,81.52,28.0278,100.0,1785735361.2082553
AdaptDCC,52,42,0.45,2005,0.0075,332.872,90.8,28.0278,100.0,1785735361.2097807
AdaptDCC,56,42,0.46,2005,0.0075,332.872,87.87,28.0278,100.0,1785735361.214693
AdaptDCC,54,42,0.46,2005,0.0075,332.872,87.78,28.0278,100.0,1785735361.2215369
AdaptDCC,70,42,0.42,2005,0.0075,332.872,80.65,28.0278,100.0,1785735361.2216532
AdaptDCC,62,42,0.44,2005,0.0075,332.872,84.76,28.0278,100.0,1785735361.2330844
AdaptDCC,58,42,0.48,2005,0.0075,332.872,85.81,28.0278,100.0,1785735361.2409625
AdaptDCC,78,42,0.43,2005,0.0075,332.872,77.35,28.0278,100.0,1785735361.2443287
AdaptDCC,72,42,0.44,2005,0.0075,332.872,79.07,28.0278,100.0,1785735361.244732
AdaptDCC,66,42,0.45,2005,0.0075,332.872,82.14,28.0278,100.0,1785735361.2472925
AdaptDCC,84,42,0.42,2005,0.0075,332.872,75.05,28.0278,100.0,1785735361.2604344
AdaptDCC,64,42,0.48,2005,0.0075,332.872,83.3,28.0278,100.0,1785735361.2739103
