sweep_id,param_name,param_value,seed,AoI_mean,CBR_mean,PDR_mean,energy_efficiency,ETSI_compliance,runtime_sec,n_cam_events,status,error
SA1,n_vehicles,20,123,503.788,0.0078,100.0,44.9169,100.0,2.04,2405,ok,,ReactDCC
SA1,n_vehicles,20,456,267.46,0.0145,100.0,30.1038,100.0,2.06,2773,ok,,ReactDCC
SA1,n_vehicles,20,42,602.56,0.0097,100.0,33.0073,100.0,1.92,2157,ok,,AdaptDCC
SA1,n_vehicles,20,123,503.788,0.0078,100.0,44.9169,100.0,2.01,2405,ok,,AdaptDCC
SA1,n_vehicles,20,456,267.46,0.0145,100.0,30.1038,100.0,2.06,2773,ok,,AdaptDCC
SA1,n_vehicles,20,42,602.56,0.0097,100.0,33.0073,100.0,1.91,2157,ok,,Heuristic
SA1,n_vehicles,20,123,503.788,0.0078,100.0,44.9169,100.0,1.99,2405,ok,,Heuristic
SA1,n_vehicles,20,456,267.46,0.0145,100.0,30.1038,100.0,2.07,2773,ok,,Heuristic
SA1,n_vehicles,20,42,602.56,0.0097,100.0,33.0073,100.0,1.92,2157,ok,,Fixed10Hz
SA1,n_vehicles,20,123,503.788,0.0078,100.0,44.9169,100.0,1.98,2405,ok,,Fixed10Hz
SA1,n_vehicles,20,456,267.46,0.0145,100.0,30.1038,100.0,2.07,2773,ok,,Fixed10Hz
SA1,n_vehicles,20,42,941.006,0.0097,100.0,3.3007,100.0,2.32,2157,ok,,DecTree
SA1,n_vehicles,20,123,407.762,0.0078,100.0,4.4917,100.0,2.48,2405,ok,,DecTree
SA1,n_vehicles,20,456,211.718,0.0145,100.0,3.0104,100.0,2.51,2773,ok,,DecTree
SA1,n_vehicles,20,42,471.382,0.0095,100.0,5.9496,100.0,2.98,2106,ok,,StdMLP
SA1,n_vehicles,20,123,340.368,0.0074,100.0,18.8427,100.0,3.19,2268,ok,,StdMLP
SA1,n_vehicles,20,456,199.615,0.0139,100.0,6.3356,100.0,3.33,2668,ok,,StdMLP
SA1,n_vehicles,20,42,602.56,0.0097,100.0,16.5428,100.0,2.07,2157,ok,,Proposed
SA1,n_vehicles,20,123,503.788,0.0078,100.0,22.5118,100.0,2.09,2405,ok,,Proposed
SA1,n_vehicles,20,456,267.46,0.0145,100.0,15.0876,100.0,2.2,2773,ok,,Proposed
SA1,n_vehicles,30,42,602.56,0.0097,100.0,33.0073,100.0,1.94,2157,ok,,ReactDCC
SA1,n_vehicles,30,123,503.788,0.0078,100.0,44.9169,100.0,1.94,2405,ok,,ReactDCC
SA1,n_vehicles,30,456,267.46,0.0145,100.0,30.1038,100.0,2.04,2773,ok,,ReactDCC
SA1,n_vehicles,30,42,602.56,0.0097,100.0,33.0073,100.0,1.99,2157,ok,,AdaptDCC
SA1,n_vehicles,30,123,503.788,0.0078,100.0,44.9169,100.0,1.97,2405,ok,,AdaptDCC
SA1,n_vehicles,30,456,267.46,0.0145,100.0,30.1038,100.0,2.07,2773,ok,,AdaptDCC
SA1,n_vehicles,30,42,602.56,0.0097,100.0,33.0073,100.0,1.95,2157,ok,,Heuristic
SA1,n_vehicles,30,123,503.788,0.0078,100.0,44.9169,100.0,1.93,2405,ok,,Heuristic
SA1,n_vehicles,30,456,267.46,0.0145,100.0,30.1038,100.0,2.14,2773,ok,,Heuristic
SA1,n_vehicles,30,42,602.56,0.0097,100.0,33.0073,100.0,1.99,2157,ok,,Fixed10Hz
SA1,n_vehicles,30,123,503.788,0.0078,100.0,44.9169,100.0,1.99,2405,ok,,Fixed10Hz
SA1,n_vehicles,30,456,267.46,0.0145,100.0,30.1038,100.0,2.08,2773,ok,,Fixed10Hz
SA1,n_vehicles,30,42,941.006,0.0097,100.0,3.3007,100.0,2.28,2157,ok,,DecTree
SA1,n_vehicles,30,123,407.762,0.0078,100.0,4.4917,100.0,2.35,2405,ok,,DecTree
SA1,n_vehicles,30,456,211.718,0.0145,100.0,3.0104,100.0,2.49,2773,ok,,DecTree
SA1,n_vehicles,30,42,471.382,0.0095,100.0,5.9496,100.0,2.95,2106,ok,,StdMLP
SA1,n_vehicles,30,123,340.368,0.0074,100.0,18.8427,100.0,3.27,2268,ok,,StdMLP
SA1,n_vehicles,30,456,199.615,0.0139,100.0,6.3356,100.0,3.41,2668,ok,,StdMLP
SA1,n_vehicles,30,42,602.56,0.0097,100.0,16.5428,100.0,1.99,2157,ok,,Proposed
SA1,n_vehicles,30,123,503.788,0.0078,100.0,22.5118,100.0,2.1,2405,ok,,Proposed
SA1,n_vehicles,30,456,267.46,0.0145,100.0,15.0876,100.0,2.18,2773,ok,,Proposed
SA1,n_vehicles,50,42,602.56,0.0097,100.0,33.0073,100.0,1.93,2157,ok,,ReactDCC
SA1,n_vehicles,50,123,396.209,0.0085,100.0,41.3512,100.0,1.98,2604,ok,,ReactDCC
SA1,n_vehicles,50,456,232.842,0.0173,100.0,30.7167,100.0,2.21,3318,ok,,ReactDCC
SA1,n_vehicles,50,42,602.56,0.0097,100.0,33.0073,100.0,1.95,2157,ok,,AdaptDCC
SA1,n_vehicles,50,123,396.209,0.0085,100.0,41.3512,100.0,1.99,2604,ok,,AdaptDCC
SA1,n_vehicles,50,456,232.842,0.0173,100.0,30.7167,100.0,2.16,3318,ok,,AdaptDCC
SA1,n_vehicles,50,42,602.56,0.0097,100.0,33.0073,100.0,1.93,2157,ok,,Heuristic
SA1,n_vehicles,50,123,396.209,0.0085,100.0,41.3512,100.0,1.99,2604,ok,,Heuristic
SA1,n_vehicles,50,456,232.842,0.0173,100.0,30.7167,100.0,2.19,3318,ok,,Heuristic
SA1,n_vehicles,50,42,602.56,0.0097,100.0,33.0073,100.0,1.91,2157,ok,,Fixed10Hz
SA1,n_vehicles,50,123,396.209,0.0085,100.0,41.3512,100.0,2.06,2604,ok,,Fixed10Hz
SA1,n_vehicles,50,456,232.842,0.0173,100.0,30.7167,100.0,2.17,3318,ok,,Fixed10Hz
SA1,n_vehicles,50,42,941.006,0.0097,100.0,3.3007,100.0,2.29,2157,ok,,DecTree
SA1,n_vehicles,50,123,307.832,0.0085,100.0,4.1351,100.0,2.51,2604,ok,,DecTree
SA1,n_vehicles,50,456,191.485,0.0173,100.0,3.0717,100.0,2.71,3318,ok,,DecTree
SA1,n_vehicles,50,42,471.382,0.0095,100.0,5.9496,100.0,3.03,2106,ok,,StdMLP
SA1,n_vehicles,50,123,410.496,0.0081,100.0,16.3356,100.0,3.32,2466,ok,,StdMLP
SA1,n_vehicles,50,456,220.846,0.0169,100.0,5.9341,100.0,3.72,3242,ok,,StdMLP
SA1,n_vehicles,50,42,602.56,0.0097,100.0,16.5428,100.0,2.09,2157,ok,,Proposed
SA1,n_vehicles,50,123,396.209,0.0085,100.0,20.7247,100.0,2.14,2604,ok,,Proposed
SA1,n_vehicles,50,456,232.842,0.0173,100.0,15.3948,100.0,2.36,3318,ok,,Proposed
SA1,n_vehicles,75,42,602.56,0.0097,100.0,33.0073,100.0,1.94,2157,ok,,ReactDCC
SA1,n_vehicles,75,123,338.955,0.0095,100.0,36.5147,100.0,2.06,2918,ok,,ReactDCC
SA1,n_vehicles,75,456,213.81,0.0184,100.0,29.8646,100.0,2.2,3524,ok,,ReactDCC
SA1,n_vehicles,75,42,602.56,0.0097,100.0,33.0073,100.0,1.91,2157,ok,,AdaptDCC
SA1,n_vehicles,75,123,338.955,0.0095,100.0,36.5147,100.0,2.05,2918,ok,,AdaptDCC
SA1,n_vehicles,75,456,213.81,0.0184,100.0,29.8646,100.0,2.2,3524,ok,,AdaptDCC
SA1,n_vehicles,75,42,602.56,0.0097,100.0,33.0073,100.0,1.91,2157,ok,,Heuristic
SA1,n_vehicles,75,123,338.955,0.0095,100.0,36.5147,100.0,2.05,2918,ok,,Heuristic
SA1,n_vehicles,75,456,213.81,0.0184,100.0,29.8646,100.0,2.21,3524,ok,,Heuristic
SA1,n_vehicles,75,42,602.56,0.0097,100.0,33.0073,100.0,1.92,2157,ok,,Fixed10Hz
SA1,n_vehicles,75,123,338.955,0.0095,100.0,36.5147,100.0,2.08,2918,ok,,Fixed10Hz
SA1,n_vehicles,75,456,213.81,0.0184,100.0,29.8646,100.0,2.25,3524,ok,,Fixed10Hz
SA1,n_vehicles,75,42,941.006,0.0097,100.0,3.3007,100.0,2.23,2157,ok,,DecTree
SA1,n_vehicles,75,123,306.243,0.0095,100.0,3.6515,100.0,2.57,2918,ok,,DecTree
SA1,n_vehicles,75,456,183.584,0.0184,100.0,2.9865,100.0,2.66,3524,ok,,DecTree
SA1,n_vehicles,75,42,471.382,0.0095,100.0,5.9496,100.0,3.01,2106,ok,,StdMLP
SA1,n_vehicles,75,123,370.01,0.0092,100.0,13.2782,100.0,3.51,2790,ok,,StdMLP
SA1,n_vehicles,75,456,244.735,0.018,100.0,5.6068,100.0,3.82,3448,ok,,StdMLP
SA1,n_vehicles,75,42,602.56,0.0097,100.0,16.5428,100.0,2.05,2157,ok,,Proposed
SA1,n_vehicles,75,123,338.955,0.0095,100.0,18.3007,100.0,2.21,2918,ok,,Proposed
SA1,n_vehicles,75,456,213.81,0.0184,100.0,14.9678,100.0,2.41,3524,ok,,Proposed
SA1,n_vehicles,100,42,602.56,0.0097,100.0,33.0073,100.0,1.92,2157,ok,,ReactDCC
SA1,n_vehicles,100,123,338.955,0.0095,100.0,36.5147,100.0,2.13,2918,ok,,ReactDCC
SA1,n_vehicles,100,456,213.81,0.0184,100.0,29.8646,100.0,2.17,3524,ok,,ReactDCC
SA1,n_vehicles,100,42,602.56,0.0097,100.0,33.0073,100.0,2.01,2157,ok,,AdaptDCC
SA1,n_vehicles,100,123,338.955,0.0095,100.0,36.5147,100.0,2.06,2918,ok,,AdaptDCC
SA1,n_vehicles,100,456,213.81,0.0184,100.0,29.8646,100.0,2.17,3524,ok,,AdaptDCC
SA1,n_vehicles,100,42,602.56,0.0097,100.0,33.0073,100.0,1.93,2157,ok,,Heuristic
SA1,n_vehicles,100,123,338.955,0.0095,100.0,36.5147,100.0,2.05,2918,ok,,Heuristic
SA1,n_vehicles,100,456,213.81,0.0184,100.0,29.8646,100.0,2.25,3524,ok,,Heuristic
SA1,n_vehicles,100,42,602.56,0.0097,100.0,33.0073,100.0,1.91,2157,ok,,Fixed10Hz
SA1,n_vehicles,100,123,338.955,0.0095,100.0,36.5147,100.0,2.07,2918,ok,,Fixed10Hz
SA1,n_vehicles,100,456,213.81,0.0184,100.0,29.8646,100.0,2.2,3524,ok,,Fixed10Hz
SA1,n_vehicles,100,42,941.006,0.0097,100.0,3.3007,100.0,2.34,2157,ok,,DecTree
SA1,n_vehicles,100,123,306.243,0.0095,100.0,3.6515,100.0,2.56,2918,ok,,DecTree
SA1,n_vehicles,100,456,183.584,0.0184,100.0,2.9865,100.0,2.71,3524,ok,,DecTree
SA1,n_vehicles,100,42,471.382,0.0095,100.0,5.9496,100.0,2.98,2106,ok,,StdMLP
SA1,n_vehicles,100,123,370.01,0.0092,100.0,13.2782,100.0,3.46,2790,ok,,StdMLP
SA1,n_vehicles,100,456,244.735,0.018,100.0,5.6068,100.0,3.84,3448,ok,,StdMLP
SA1,n_vehicles,100,42,602.56,0.0097,100.0,16.5428,100.0,2.07,2157,ok,,Proposed
SA1,n_vehicles,100,123,338.955,0.0095,100.0,18.3007,100.0,2.21,2918,ok,,Proposed
SA1,n_vehicles,100,456,213.81,0.0184,100.0,14.9678,100.0,2.37,3524,ok,,Proposed
