Time,VehicleID,X,Y,Z,State
46.0,V4,3260.7,18982.1,155.7,CRUISE
47.0,V1,11622.1,4027.0,150.0,CRUISE
47.0,V2,11871.6,3593.7,150.0,CRUISE
47.0,V3,8903.9,837.3,220.5,CRUISE
47.0,V4,3262.1,18980.8,156.4,CRUISE
48.0,V1,11597.2,4070.4,150.0,CRUISE
48.0,V2,11846.6,3637.0,150.0,CRUISE
48.0,V3,8951.2,851.2,217.6,CRUISE
48.0,V4,3265.3,18977.8,157.0,CRUISE
49.0,V1,11572.2,4113.7,150.0,CRUISE
49.0,V2,11821.7,3680.4,150.0,CRUISE
49.0,V3,8999.2,865.3,214.6,CRUISE
49.0,V4,3270.4,18973.0,157.4,CRUISE
50.0,V1,11547.3,4157.0,150.0,CRUISE
50.0,V2,11796.7,3723.7,150.0,CRUISE
50.0,V3,9047.1,879.4,211.6,CRUISE
50.0,V4,3277.3,18966.6,157.5,CRUISE
51.0,V1,11522.3,4200.4,150.0,CRUISE
51.0,V2,11771.8,3767.0,150.0,CRUISE
51.0,V3,9095.1,893.5,208.6,CRUISE
51.0,V4,3286.0,18958.5,157.5,CRUISE
52.0,V1,11497.4,4243.7,150.0,CRUISE
52.0,V2,11746.8,3810.4,150.0,CRUISE
52.0,V3,9143.1,907.6,205.6,CRUISE
52.0,V4,3296.6,18948.6,157.3,CRUISE
53.0,V1,11472.4,4287.0,150.0,CRUISE
53.0,V2,11721.9,3853.7,150.0,CRUISE
53.0,V3,9191.0,921.7,202.6,CRUISE
53.0,V4,3308.9,18937.1,156.8,CRUISE
54.0,V1,11447.5,4330.4,150.0,CRUISE
54.0,V2,11697.0,3897.0,150.0,CRUISE
54.0,V3,9239.0,935.8,200.0,CRUISE
54.0,V4,3322.5,18924.4,154.4,CRUISE
55.0,V1,11422.5,4373.7,150.0,CRUISE
55.0,V2,11672.0,3940.4,150.0,CRUISE
55.0,V3,9287.0,949.9,199.9,CRUISE
55.0,V4,3336.0,18909.3,151.9,CRUISE
56.0,V1,11397.6,4417.0,150.0,CRUISE
56.0,V2,11647.1,3983.7,150.0,CRUISE
56.0,V3,9334.9,964.1,200.0,CRUISE
56.0,V4,3349.6,18891.6,149.5,CRUISE
57.0,V1,11372.7,4460.4,150.0,CRUISE
57.0,V2,11622.1,4027.0,150.0,CRUISE
57.0,V3,9382.9,978.2,200.0,CRUISE
57.0,V4,3363.0,18871.5,147.3,CRUISE
58.0,V1,11347.7,4503.7,150.0,CRUISE
58.0,V2,11597.2,4070.4,150.0,CRUISE
58.0,V3,9430.9,992.3,200.0,CRUISE
58.0,V4,3376.3,18848.9,145.5,CRUISE
59.0,V1,11322.8,4547.0,150.0,CRUISE
59.0,V2,11572.2,4113.7,150.0,CRUISE
59.0,V3,9478.8,1006.4,200.0,CRUISE
59.0,V4,3389.3,18823.9,144.3,CRUISE
60.0,V1,11297.8,4590.3,150.0,CRUISE
60.0,V2,11547.3,4157.0,150.0,CRUISE
60.0,V3,9526.8,1020.5,200.0,CRUISE
60.0,V4,3402.1,18796.4,143.8,CRUISE
61.0,V1,11272.9,4633.7,150.0,CRUISE
61.0,V2,11522.3,4200.4,150.0,CRUISE
61.0,V3,9574.8,1034.6,200.0,CRUISE
61.0,V4,3414.6,18766.6,143.8,CRUISE
62.0,V1,11247.9,4677.0,150.0,CRUISE
62.0,V2,11497.4,4243.7,150.0,CRUISE
62.0,V3,9622.8,1048.7,200.0,CRUISE
62.0,V4,3426.6,18734.4,144.5,CRUISE
63.0,V1,11223.0,4720.3,150.0,CRUISE
63.0,V2,11472.4,4287.0,150.0,CRUISE
63.0,V3,9670.7,1062.8,200.0,CRUISE
63.0,V4,3438.2,18699.8,145.8,CRUISE
64.0,V1,11198.0,4763.7,150.0,CRUISE
64.0,V2,11447.5,4330.4,150.0,CRUISE
64.0,V3,9718.7,1076.9,200.0,CRUISE
64.0,V4,3449.1,18662.8,147.5,CRUISE
65.0,V1,11173.1,4807.0,150.0,CRUISE
65.0,V2,11422.5,4373.7,150.0,CRUISE
65.0,V3,9766.7,1091.0,200.0,CRUISE
65.0,V4,3459.3,18623.5,149.4,CRUISE
66.0,V1,11148.1,4850.3,150.0,CRUISE
66.0,V2,11397.6,4417.0,150.0,CRUISE
66.0,V3,9814.6,1105.1,200.0,CRUISE
66.0,V4,3468.7,18581.8,151.0,CRUISE
67.0,V1,11123.2,4893.7,150.0,CRUISE
67.0,V2,11372.7,4460.4,150.0,CRUISE
67.0,V3,9862.6,1119.2,200.0,CRUISE
67.0,V4,3477.0,18537.9,151.9,CRUISE
68.0,V1,11098.2,4937.0,150.0,CRUISE
68.0,V2,11347.7,4503.7,150.0,CRUISE
