vid,reward,delta_actual,interval_steps,done,transmitted,r_err,r_power,cbr,i_redundant,error,term_err,term_pow,term_cong,term_red,bucket
F18_7.0,-0.2179429375185094,1.0,10,False,True,2.6802371779817305e-06,0.585227986999602,0.00448,1.0,0.04364946738405706,1.3401185889908653e-06,0.1170455973999204,0.000896,0.1,"[0.5, 2.0)"
F18_2.0,-1.7315642867017418,6.399999999999999,64,False,True,3.4599794495114007,0.0033928097302068274,0.00448,0.0,56.83620917506323,1.7299897247557003,0.0006785619460413655,0.000896,0.0,"[2.0, 10.0)"
F18_2.1,-0.22530241967949932,7.699999999999996,77,False,True,0.0706719634714666,0.44535218971882995,0.00448,1.0,1.1503605575890106,0.0353359817357333,0.089070437943766,0.000896,0.1,"[2.0, 10.0)"
F18_12.1,-1.5147918429111569,6.299999999999997,63,False,True,2.9516077137052954,0.19045993029254596,0.00448,0.0,44.329969549421094,1.4758038568526477,0.03809198605850919,0.000896,0.0,"[2.0, 10.0)"
F18_8.0,-0.22909919848252758,1.1999999999999957,12,False,True,7.489535773024093e-06,0.6409972685732053,0.00448,1.0,0.044166359090922924,3.7447678865120466e-06,0.12819945371464106,0.000896,0.1,"[0.5, 2.0)"
F19_3.0,-0.29492459684712136,14.5,145,False,True,0.002521775304722262,0.9638385459738009,0.00448,1.0,0.3067220856228232,0.001260887652361131,0.1927677091947602,0.000896,0.1,"[10.0, 45.1)"
F19_4.2,-0.13280646462272322,1.5999999999999943,16,False,True,0.014464814623904166,0.11891028655385569,0.00896,1.0,1.3452854526167357,0.007232407311952083,0.02378205731077114,0.001792,0.1,"[0.5, 2.0)"
F19_9.0,-0.2767503181688695,0.29999999999999716,3,False,True,0.0019153325593232672,0.8744832594460393,0.00448,1.0,1.0724752160613207,0.0009576662796616336,0.1748966518892079,0.000896,0.1,"[0.1, 0.5)"
F18_7.0,-0.2764325944533282,1.2000000000000028,12,False,True,1.0555746218301594e-05,0.8776565829010952,0.00448,1.0,0.05902221727592405,5.277873109150797e-06,0.17553131658021903,0.000896,0.1,"[0.5, 2.0)"
F19_4.2,-0.11416701776434962,0.30000000000000426,3,False,True,1.6104520133323355e-07,0.06635468620874473,0.00448,1.0,0.00969212804830022,8.052260066661677e-08,0.013270937241748946,0.000896,0.1,"[0.1, 0.5)"
F19_9.0,-0.10395311307985201,0.29999999999999716,3,False,True,1.7017181331370025e-07,0.015285139969726776,0.00448,1.0,0.014408168518457387,8.508590665685012e-08,0.003057027993945355,0.000896,0.1,"[0.1, 0.5)"
F19_16.0,-3.706875117477723,15.799999999999997,158,False,True,7.314393884200593,0.24391087688713198,0.00448,0.0,80.83498534352398,3.6571969421002963,0.0487821753774264,0.000896,0.0,"[10.0, 45.1)"
F18_2.0,-0.2676026998756541,2.0999999999999943,21,False,True,0.0,0.8335334993782706,0.00448,1.0,0.0,0.0,0.16670669987565412,0.000896,0.1,"[2.0, 10.0)"
F18_10.0,-0.1218801436375725,2.8999999999999986,29,False,True,6.977446858077265e-05,0.10474628201641054,0.00448,1.0,0.11086778621574922,3.488723429038633e-05,0.02094925640328211,0.000896,0.1,"[2.0, 10.0)"
F19_12.0,-6.130063413674935,14.700000000000003,147,False,True,11.945087423411223,0.7831185098466165,0.00448,0.0,126.03065407345593,5.972543711705612,0.1566237019693233,0.000896,0.0,"[10.0, 45.1)"
F18_10.0,-0.1613844142720962,0.29999999999999716,3,False,True,9.425758836965756e-09,0.30244204779608386,0.00448,1.0,0.0032211959960477543,4.712879418482878e-09,0.06048840955921678,0.000896,0.1,"[0.1, 0.5)"
F19_14.0,-1.2509203928098558,17.0,170,False,True,2.2534979516940536,0.6118970848141451,0.00896,0.0,25.18164166132601,1.1267489758470268,0.12237941696282902,0.001792,0.0,"[10.0, 45.1)"
F19_5.0,-0.4197721949729696,4.700000000000003,47,False,True,0.5153049917168154,0.8061184955728092,0.00448,0.0,11.83426891721001,0.2576524958584077,0.16122369911456186,0.000896,0.0,"[2.0, 10.0)"
F18_10.2,-0.23446885640942552,0.6000000000000014,6,False,True,0.004351892064397328,0.6569845518861341,0.00448,1.0,1.1263653513969984,0.002175946032198664,0.13139691037722684,0.000896,0.1,"[0.5, 2.0)"
F19_16.1,-4.111975541221346,17.4,174,False,True,8.20596533117038,0.040484378180777617,0.00448,0.0,79.8001163731859,4.10298266558519,0.008096875636155524,0.000896,0.0,"[10.0, 45.1)"
F18_9.1,-0.1305802656526986,3.8999999999999986,39,False,True,7.724470985207804e-06,0.14840201708602982,0.00448,1.0,0.043284783741000865,3.862235492603902e-06,0.029680403417205965,0.000896,0.1,"[2.0, 10.0)"
F19_9.0,-0.21568940619095095,2.200000000000003,22,False,True,3.782138528217777e-05,0.5738724774915493,0.00448,1.0,0.09152634500514978,1.8910692641088883e-05,0.11477449549830987,0.000896,0.1,"[2.0, 10.0)"
F19_16.1,-0.12915402723722427,0.20000000000000284,2,False,True,0.00015410356486099348,0.1409048772739689,0.00448,1.0,0.46878001197489966,7.705178243049674e-05,0.02818097545479378,0.000896,0.1,"[0.1, 0.5)"
F18_9.1,-0.18312406292780362,0.29999999999999716,3,False,True,4.734061469091337e-08,0.41114019628748133,0.00448,1.0,0.008148321559929173,2.3670307345456685e-08,0.08222803925749628,0.000896,0.1,"[0.1, 0.5)"
F19_5.0,-0.11544674323468687,1.1000000000000014,11,False,True,0.004197982920884479,0.062258758871223153,0.00448,1.0,1.5939302958499866,0.0020989914604422396,0.01245175177424463,0.000896,0.1,"[0.5, 2.0)"
F18_9.1,-0.10494163984276939,0.19999999999999574,2,False,True,5.038842099330218e-08,0.02022807324279441,0.00448,1.0,0.009445307051464624,2.519421049665109e-08,0.004045614648558882,0.000896,0.1,"[0.1, 0.5)"
F18_2.0,-0.22327798221896356,2.0,20,False,True,0.0,0.6074299110948178,0.00896,1.0,0.0,0.0,0.12148598221896356,0.001792,0.1,"[2.0, 10.0)"
F18_2.2,-0.13189552626877746,3.700000000000003,37,False,True,0.03545540012244083,0.06635913103778521,0.00448,1.0,1.2510178389529756,0.017727700061220417,0.013271826207557041,0.000896,0.1,"[2.0, 10.0)"
F19_5.0,-0.13989600300372124,0.20000000000000284,2,False,True,1.0557747927711166e-05,0.1949736206487868,0.00448,1.0,0.12370688326927848,5.278873963855583e-06,0.03899472412975736,0.000896,0.1,"[0.1, 0.5)"
F19_3.0,-0.2992047812969052,4.0,40,False,True,0.2596842317628635,0.8423333270773672,0.00448,0.0,7.4540953190471555,0.12984211588143174,0.16846666541547345,0.000896,0.0,"[2.0, 10.0)"
F18_2.0,-0.22376216807030533,0.20000000000000284,2,False,True,0.0,0.6143308403515266,0.00448,1.0,0.0,0.0,0.12286616807030533,0.000896,0.1,"[0.1, 0.5)"
F19_3.0,-0.2607747052828301,0.29999999999999716,3,False,True,2.092599693453259e-05,0.7993412114218139,0.00448,1.0,0.1495325422820315,1.0462998467266295e-05,0.1598682422843628,0.000896,0.1,"[0.1, 0.5)"
