Model,density_bin,delay,traffic,cache_hit
ResNet,"(5.0, 7.5]",0.19300000000000003,61.06666666666667,0.8157802295219249
ResNet,"(7.5, 10.0]",0.2802727272727273,77.76363636363637,0.7953579483685392
ResNet,"(10.0, 12.5]",0.25457943925233645,77.32710280373831,0.7445219712369836
ResNet,"(12.5, 15.0]",0.22449664429530203,70.1744966442953,0.7949538511164033
ResNet,"(15.0, 17.5]",0.19212598425196858,50.488188976377955,0.8312446282049036
ResNet,"(17.5, 20.0]",0.2250753768844221,61.869346733668344,0.8151588481410322
ResNet,"(20.0, 22.5]",0.214,62.54,0.8101393164495073
ResNet,"(22.5, 25.0]",0.22437086092715228,58.42384105960265,0.8029659421061204
LSTM,"(5.0, 7.5]",0.19683333333333333,39.666666666666664,0.8014249217461541
LSTM,"(7.5, 10.0]",0.1479090909090909,31.581818181818182,0.8530315480927326
LSTM,"(10.0, 12.5]",0.1909345794392523,44.71028037383178,0.7801875030410106
LSTM,"(12.5, 15.0]",0.18812080536912754,39.79865771812081,0.8073054089855318
LSTM,"(15.0, 17.5]",0.17795275590551177,42.881889763779526,0.8252131850868551
LSTM,"(17.5, 20.0]",0.21668341708542715,52.050251256281406,0.7882977215159673
LSTM,"(20.0, 22.5]",0.2084,56.39,0.7945950815770724
LSTM,"(22.5, 25.0]",0.21980132450331125,57.98675496688742,0.7770450157200807
GRU,"(5.0, 7.5]",0.5258333333333334,188.4,0.5043162609239275
GRU,"(7.5, 10.0]",0.5228181818181818,185.70909090909092,0.5159206477424526
GRU,"(10.0, 12.5]",0.5904672897196263,204.0373831775701,0.4202065896896045
GRU,"(12.5, 15.0]",0.5664429530201341,192.53691275167785,0.4600051204008454
GRU,"(15.0, 17.5]",0.5242519685039371,182.31496062992127,0.5163124133811038
GRU,"(17.5, 20.0]",0.5405025125628141,186.26130653266333,0.4938580614134393
GRU,"(20.0, 22.5]",0.52685,183.77,0.5132104449863195
GRU,"(22.5, 25.0]",0.5620529801324503,192.43708609271522,0.45620249819135
FTT,"(5.0, 7.5]",0.29233333333333333,38.8,0.7759320555556779
FTT,"(7.5, 10.0]",0.26972727272727276,32.836363636363636,0.7835238868880008
FTT,"(10.0, 12.5]",0.18392523364485985,29.514018691588785,0.8413890613032582
FTT,"(12.5, 15.0]",0.21416107382550337,28.42953020134228,0.8284496018339961
FTT,"(15.0, 17.5]",0.23425196850393706,28.346456692913385,0.8141513311797598
FTT,"(17.5, 20.0]",0.2220100502512563,30.55276381909548,0.8289296014775596
FTT,"(20.0, 22.5]",0.2243,31.45,0.8228702851503128
FTT,"(22.5, 25.0]",0.17311258278145694,27.43046357615894,0.8627811338923345
TabR,"(5.0, 7.5]",0.16383333333333333,39.36666666666667,0.8554067758146585
TabR,"(7.5, 10.0]",0.16936363636363636,40.43636363636364,0.8489958752495573
TabR,"(10.0, 12.5]",0.16869158878504673,46.57943925233645,0.8335305706313595
TabR,"(12.5, 15.0]",0.17624161073825503,41.19463087248322,0.8387744225596065
TabR,"(15.0, 17.5]",0.1640944881889764,41.71653543307087,0.8532542793618879
TabR,"(17.5, 20.0]",0.18452261306532663,45.38693467336683,0.8359520581224926
TabR,"(20.0, 22.5]",0.1556,43.27,0.8606841475391288
TabR,"(22.5, 25.0]",0.16774834437086092,48.94039735099338,0.842052007294191
H-ST-MBAN,"(5.0, 7.5]",0.07151515151515152,18.545454545454547,0.9358910016026365
H-ST-MBAN,"(7.5, 10.0]",0.08355263157894736,17.394736842105264,0.9239700137463006
H-ST-MBAN,"(10.0, 12.5]",0.09276923076923077,19.784615384615385,0.9147866490164944
H-ST-MBAN,"(12.5, 15.0]",0.09154471544715446,17.333333333333332,0.925985656358716
H-ST-MBAN,"(15.0, 17.5]",0.12040650406504065,18.227642276422763,0.908592065826775
H-ST-MBAN,"(17.5, 20.0]",0.08481283422459894,13.304812834224599,0.9271073174044332
H-ST-MBAN,"(20.0, 22.5]",0.09915094339622643,16.08490566037736,0.9158029066495853
H-ST-MBAN,"(22.5, 25.0]",0.09657303370786517,13.191011235955056,0.9186945332955291
