trial_id,state,objective_value,total_equity,total_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,win_rate,param_sl_lr,param_sl_hidden_dim,param_sl_batch_size,param_rl_lr,param_rl_gamma,param_rl_clip_range,param_rl_ent_coef,param_rl_hidden_dim,duration_seconds,datetime_start,datetime_complete
1,COMPLETE,0.9483,12009774.0,20.0977,0.9483,-42.3098,6,0.0,8.17949947521167e-05,256,128,0.0003718364180573,0.9197677044336776,0.2028468876827223,0.0059874749104614,128,0.6671,2026-09-02T06:35:50.345697+00:00,2026-09-02T06:35:51.012753+00:00
2,PRUNED,0.0,10000000.0,0.0,0.0,0.0,0,0.0,1.5673095467235405e-05,64,32,9.7803370166594e-05,0.9034044635904066,0.2818640804157564,0.000597502799996,64,0.6091,2026-09-02T06:35:51.018100+00:00,2026-09-02T06:35:51.627184+00:00
0,COMPLETE,0.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0001329291894316,32,64,0.000260702475837,0.9020378649352844,0.2939819704323988,0.0314288089084011,64,1.3764,2026-09-02T06:36:18.065617+00:00,2026-09-02T06:36:19.442049+00:00
1,COMPLETE,0.9483,12009774.0,20.0977,0.9483,-42.3098,6,0.0,8.17949947521167e-05,256,128,0.0003718364180573,0.9197677044336776,0.2028468876827223,0.0059874749104614,128,0.6054,2026-09-02T06:36:19.448704+00:00,2026-09-02T06:36:20.054094+00:00
2,PRUNED,0.0,10000000.0,0.0,0.0,0.0,0,0.0,1.5673095467235405e-05,64,32,9.7803370166594e-05,0.9034044635904066,0.2818640804157564,0.0005975027999960298,64,0.5852,2026-09-02T06:36:20.059543+00:00,2026-09-02T06:36:20.644745+00:00
0,COMPLETE,0.9483,12009774.0,20.0977,0.9483,-42.3098,6,0.0,0.0001329291894316216,32,64,0.0002607024758370766,0.9020378649352845,0.2939819704323988,0.03142880890840111,64,1.4292,2026-09-02T06:51:35.823002+00:00,2026-09-02T06:51:37.252187+00:00
1,COMPLETE,0.9483,12009774.0,20.0977,0.9483,-42.3098,6,0.0,8.17949947521167e-05,256,128,0.00037183641805732076,0.9197677044336776,0.2028468876827223,0.005987474910461402,128,0.6062,2026-09-02T06:51:37.267184+00:00,2026-09-02T06:51:37.873389+00:00
2,PRUNED,0.0,10000000.0,0.0,0.0,0.0,0,0.0,1.5673095467235405e-05,64,32,9.7803370166594e-05,0.9034044635904066,0.2818640804157564,0.0005975027999960298,64,0.5696,2026-09-02T06:51:37.887890+00:00,2026-09-02T06:51:38.457461+00:00
0,COMPLETE,-1.0,10000000.0,0.0,0.0,0.0,0,0.0,0.0001329291894316216,32,64,0.0002607024758370766,0.9020378649352845,0.2939819704323988,0.03142880890840111,64,1.0277,2026-09-02T11:43:11.145935+00:00,2026-09-02T11:43:12.173611+00:00
1,COMPLETE,-0.205,9950000.0,-0.5,-0.2,1.0,5,40.0,8.17949947521167e-05,256,128,0.00037183641805732076,0.9197677044336776,0.2028468876827223,0.005987474910461402,128,0.2407,2026-09-02T11:43:12.188219+00:00,2026-09-02T11:43:12.428893+00:00
