scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CHR,CDSR,AoI_violation_rate,PCO,RLBI
C,Youn2026,5,0,3.0,5,48,0.216333,1.0,0.2277,1.368945,0.850317
C,Youn2026,5,0,3.0,5,49,0.252433,1.0,0.173533,1.00975,0.848748
C,Youn2026,5,0,3.0,5,50,0.214867,1.0,0.2312,1.329873,0.845908
C,Youn2026,5,0,3.0,5,51,0.2549,1.0,0.170867,1.19886,0.861544
C,V2I-Base,5,0,3.0,5,42,0.2194,1.0,0.220933,1.07001,0.82332
C,V2I-Base,5,0,3.0,5,43,0.244033,1.0,0.18,1.12359,0.847388
C,V2I-Base,5,0,3.0,5,44,0.209567,1.0,0.2385,1.224568,0.847792
C,V2I-Base,5,0,3.0,5,45,0.256967,1.0,0.164933,1.211529,0.857793
C,V2I-Base,5,0,3.0,5,46,0.202733,1.0,0.2565,1.493539,0.843338
C,V2I-Base,5,0,3.0,5,47,0.221667,1.0,0.219467,1.213734,0.865854
C,V2I-Base,5,0,3.0,5,48,0.216333,1.0,0.2277,1.368945,0.850317
C,V2I-Base,5,0,3.0,5,49,0.252433,1.0,0.173533,1.00975,0.848748
C,V2I-Base,5,0,3.0,5,50,0.214867,1.0,0.2312,1.329873,0.845908
C,V2I-Base,5,0,3.0,5,51,0.2549,1.0,0.170867,1.19886,0.861544
C,V2V-Base,5,0,3.0,5,42,0.470333,1.0,0.0361,1.272422,0.967711
C,V2V-Base,5,0,3.0,5,43,0.4725,1.0,0.038133,1.169365,0.961451
C,V2V-Base,5,0,3.0,5,44,0.4589,1.0,0.045867,1.291787,0.964629
C,V2V-Base,5,0,3.0,5,45,0.490567,1.0,0.031933,1.205121,0.965032
C,V2V-Base,5,0,3.0,5,46,0.4316,1.0,0.052733,1.398678,0.964426
C,V2V-Base,5,0,3.0,5,47,0.467067,1.0,0.040533,1.226501,0.96158
C,V2V-Base,5,0,3.0,5,48,0.4544,1.0,0.0453,1.274717,0.961825
C,V2V-Base,5,0,3.0,5,49,0.4812,1.0,0.036167,1.164687,0.966207
