[run_scenario] Resume: 4331 runs already in /home/imnyj/papers/paper3/paper/experiment/data/A_full.csv; will skip those.
  [4384/6400] d=4 eps=10 g=2.0 tau=5 algo=V2V-Base    seed=45 | CHR=0.998 AoI=0.000 | run=103.0s tot=6952s eta=4407m
  [4385/6400] d=4 eps=10 g=2.0 tau=5 algo=V2V-Base    seed=46 | CHR=0.998 AoI=0.000 | run=101.3s tot=7053s eta=4386m
  [4386/6400] d=4 eps=10 g=2.0 tau=5 algo=V2V-Base    seed=47 | CHR=0.998 AoI=0.000 | run=101.0s tot=7154s eta=4366m
  [4387/6400] d=4 eps=10 g=2.0 tau=5 algo=V2V-Base    seed=48 | CHR=0.998 AoI=0.000 | run=103.4s tot=7258s eta=4348m
  [4388/6400] d=4 eps=10 g=2.0 tau=5 algo=V2V-Base    seed=49 | CHR=0.998 AoI=0.000 | run=100.3s tot=7358s eta=4329m
  [4389/6400] d=4 eps=10 g=2.0 tau=5 algo=V2V-Base    seed=50 | CHR=0.998 AoI=0.000 | run=101.5s tot=7459s eta=4311m
  [4390/6400] d=4 eps=10 g=2.0 tau=5 algo=V2V-Base    seed=51 | CHR=0.998 AoI=0.000 | run=100.0s tot=7559s eta=4292m
  [4391/6400] d=4 eps=10 g=2.0 tau=5 algo=Random-K    seed=42 | CHR=0.998 AoI=0.000 | run=97.4s tot=7657s eta=4273m
  [4392/6400] d=4 eps=10 g=2.0 tau=5 algo=Random-K    seed=43 | CHR=0.998 AoI=0.000 | run=97.4s tot=7754s eta=4254m
  [4393/6400] d=4 eps=10 g=2.0 tau=5 algo=Random-K    seed=44 | CHR=0.998 AoI=0.000 | run=98.7s tot=7853s eta=4237m
[HEARTBEAT] 2026-05-18 14:28:59 | 경과=2h 10m 52s | 진행=4393/6400 (68.6%) | 평균=126.7s/run | ETA=70h 36m | 최근완료: algo=Random-K d=4 eps=10 g=2.0 tau=5 seed=44
  [4394/6400] d=4 eps=10 g=2.0 tau=5 algo=Random-K    seed=45 | CHR=0.998 AoI=0.000 | run=99.2s tot=7952s eta=4220m
  [4395/6400] d=4 eps=10 g=2.0 tau=5 algo=Random-K    seed=46 | CHR=0.998 AoI=0.000 | run=97.0s tot=8049s eta=4203m
  [4396/6400] d=4 eps=10 g=2.0 tau=5 algo=Random-K    seed=47 | CHR=0.998 AoI=0.000 | run=97.0s tot=8146s eta=4186m
  [4397/6400] d=4 eps=10 g=2.0 tau=5 algo=Random-K    seed=48 | CHR=0.998 AoI=0.000 | run=99.0s tot=8245s eta=4170m
  [4398/6400] d=4 eps=10 g=2.0 tau=5 algo=Random-K    seed=49 | CHR=0.998 AoI=0.000 | run=96.4s tot=8342s eta=4154m
  [4399/6400] d=4 eps=10 g=2.0 tau=5 algo=Random-K    seed=50 | CHR=0.998 AoI=0.000 | run=97.9s tot=8439s eta=4139m
  [4400/6400] d=4 eps=10 g=2.0 tau=5 algo=Random-K    seed=51 | CHR=0.998 AoI=0.000 | run=96.1s tot=8536s eta=4123m
  [4401/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP        seed=42 | CHR=0.438 AoI=0.034 | run=128.3s tot=8664s eta=4124m
  [4402/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP        seed=43 | CHR=0.438 AoI=0.034 | run=127.2s tot=8791s eta=4123m
  [4403/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP        seed=44 | CHR=0.438 AoI=0.034 | run=133.1s tot=8924s eta=4125m
  [4404/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP        seed=45 | CHR=0.438 AoI=0.034 | run=132.3s tot=9057s eta=4127m
  [4405/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP        seed=46 | CHR=0.438 AoI=0.034 | run=128.1s tot=9185s eta=4127m
  [4406/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP        seed=47 | CHR=0.438 AoI=0.034 | run=128.2s tot=9313s eta=4127m
  [4407/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP        seed=48 | CHR=0.438 AoI=0.034 | run=131.1s tot=9444s eta=4128m
  [4408/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP        seed=49 | CHR=0.439 AoI=0.034 | run=125.7s tot=9570s eta=4126m
  [4409/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP        seed=50 | CHR=0.438 AoI=0.034 | run=128.4s tot=9698s eta=4126m
  [4410/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP        seed=51 | CHR=0.438 AoI=0.034 | run=125.7s tot=9824s eta=4124m
  [4411/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP-Greedy seed=42 | CHR=0.438 AoI=0.034 | run=127.9s tot=9952s eta=4124m
  [4412/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP-Greedy seed=43 | CHR=0.438 AoI=0.034 | run=127.2s tot=10079s eta=4123m
  [4413/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP-Greedy seed=44 | CHR=0.438 AoI=0.034 | run=129.8s tot=10209s eta=4123m
  [4414/6400] d=4 eps=10 g=3.0 tau=5 algo=RILP-Greedy seed=45 | CHR=0.438 AoI=0.034 | run=130.0s tot=10339s eta=4123m
