scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,AoI_violation_rate
A,V2V-Base,1,10,1.0,5,47,4e-06
A,V2V-Base,1,10,1.0,5,48,6e-06
A,V2V-Base,1,10,1.0,5,49,7e-06
A,V2V-Base,1,10,1.0,5,50,5e-06
A,V2V-Base,1,10,1.0,5,51,4e-06
A,Random-K,1,10,1.0,5,42,0.00011
A,Random-K,1,10,1.0,5,43,0.000136
A,Random-K,1,10,1.0,5,44,7.2e-05
A,Random-K,1,10,1.0,5,45,9.9e-05
A,Random-K,1,10,1.0,5,46,0.000103
A,Random-K,1,10,1.0,5,47,9.8e-05
A,Random-K,1,10,1.0,5,48,0.00011
A,Random-K,1,10,1.0,5,49,9.9e-05
A,Random-K,1,10,1.0,5,50,9.7e-05
A,Random-K,1,10,1.0,5,51,0.000104
A,RILP,1,10,2.0,5,42,0.034206
A,RILP,1,10,2.0,5,43,0.034234
A,RILP,1,10,2.0,5,44,0.034102
A,RILP,1,10,2.0,5,45,0.03425
A,RILP,1,10,2.0,5,46,0.034141
A,RILP,1,10,2.0,5,47,0.034326
A,RILP,1,10,2.0,5,48,0.034087
A,RILP,1,10,2.0,5,49,0.034168
A,RILP,1,10,2.0,5,50,0.034258
A,RILP,1,10,2.0,5,51,0.034171
A,RILP-Greedy,1,10,2.0,5,42,0.034351
A,RILP-Greedy,1,10,2.0,5,43,0.034325
A,RILP-Greedy,1,10,2.0,5,44,0.034272
A,RILP-Greedy,1,10,2.0,5,45,0.034193
A,RILP-Greedy,1,10,2.0,5,46,0.034422
A,RILP-Greedy,1,10,2.0,5,47,0.034326
A,RILP-Greedy,1,10,2.0,5,48,0.034087
A,RILP-Greedy,1,10,2.0,5,49,0.034168
A,RILP-Greedy,1,10,2.0,5,50,0.034258
A,RILP-Greedy,1,10,2.0,5,51,0.034171
A,Nam2023b,1,10,2.0,5,42,0.198254
A,Nam2023b,1,10,2.0,5,43,0.197742
A,Nam2023b,1,10,2.0,5,44,0.197928
A,Nam2023b,1,10,2.0,5,45,0.197661
A,Nam2023b,1,10,2.0,5,46,0.197607
A,Nam2023b,1,10,2.0,5,47,0.198139
A,Nam2023b,1,10,2.0,5,48,0.197945
A,Nam2023b,1,10,2.0,5,49,0.197718
A,Nam2023b,1,10,2.0,5,50,0.197749
A,Nam2023b,1,10,2.0,5,51,0.197921
A,Nam2025,1,10,2.0,5,42,0.034351
A,Nam2025,1,10,2.0,5,43,0.034325
A,Nam2025,1,10,2.0,5,44,0.034272
A,Nam2025,1,10,2.0,5,45,0.034193
A,Nam2025,1,10,2.0,5,46,0.034422
A,Nam2025,1,10,2.0,5,47,0.034326
A,Nam2025,1,10,2.0,5,48,0.034087
A,Nam2025,1,10,2.0,5,49,0.034168
A,Nam2025,1,10,2.0,5,50,0.034258
A,Nam2025,1,10,2.0,5,51,0.034171
A,Youn2026,1,10,2.0,5,42,0.034351
A,Youn2026,1,10,2.0,5,43,0.034325
A,Youn2026,1,10,2.0,5,44,0.034272
A,Youn2026,1,10,2.0,5,45,0.034193
A,Youn2026,1,10,2.0,5,46,0.034422
A,Youn2026,1,10,2.0,5,47,0.034326
A,Youn2026,1,10,2.0,5,48,0.034087
A,Youn2026,1,10,2.0,5,49,0.034168
A,Youn2026,1,10,2.0,5,50,0.034258
A,Youn2026,1,10,2.0,5,51,0.034171
A,V2I-Base,1,10,2.0,5,42,0.034351
A,V2I-Base,1,10,2.0,5,43,0.034325
A,V2I-Base,1,10,2.0,5,44,0.034272
A,V2I-Base,1,10,2.0,5,45,0.034193
A,V2I-Base,1,10,2.0,5,46,0.034422
A,V2I-Base,1,10,2.0,5,47,0.034326
A,V2I-Base,1,10,2.0,5,48,0.034087
A,V2I-Base,1,10,2.0,5,49,0.034168
A,V2I-Base,1,10,2.0,5,50,0.034258
A,V2I-Base,1,10,2.0,5,51,0.034171
A,V2V-Base,1,10,2.0,5,42,1.1e-05
