scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CHR
A,V2V-Base,1,10,1.0,5,42,0.999325
A,V2V-Base,1,10,1.0,5,43,0.999379
A,V2V-Base,1,10,1.0,5,44,0.999411
A,V2V-Base,1,10,1.0,5,45,0.999391
A,V2V-Base,1,10,1.0,5,46,0.999367
A,V2V-Base,1,10,1.0,5,47,0.9994
A,V2V-Base,1,10,1.0,5,48,0.99939
A,V2V-Base,1,10,1.0,5,49,0.999395
A,V2V-Base,1,10,1.0,5,50,0.999389
A,V2V-Base,1,10,1.0,5,51,0.999404
A,Random-K,1,10,1.0,5,42,0.999222
A,Random-K,1,10,1.0,5,43,0.999225
A,Random-K,1,10,1.0,5,44,0.999284
A,Random-K,1,10,1.0,5,45,0.999278
A,Random-K,1,10,1.0,5,46,0.999251
A,Random-K,1,10,1.0,5,47,0.999238
A,Random-K,1,10,1.0,5,48,0.999276
A,Random-K,1,10,1.0,5,49,0.999292
A,Random-K,1,10,1.0,5,50,0.999233
A,Random-K,1,10,1.0,5,51,0.999239
A,RILP,1,10,2.0,5,42,0.438361
A,RILP,1,10,2.0,5,43,0.438181
A,RILP,1,10,2.0,5,44,0.43852
A,RILP,1,10,2.0,5,45,0.438272
A,RILP,1,10,2.0,5,46,0.438622
A,RILP,1,10,2.0,5,47,0.438293
A,RILP,1,10,2.0,5,48,0.438365
A,RILP,1,10,2.0,5,49,0.438517
A,RILP,1,10,2.0,5,50,0.438314
A,RILP,1,10,2.0,5,51,0.438208
A,RILP-Greedy,1,10,2.0,5,42,0.438597
A,RILP-Greedy,1,10,2.0,5,43,0.438309
A,RILP-Greedy,1,10,2.0,5,44,0.43795
A,RILP-Greedy,1,10,2.0,5,45,0.438401
A,RILP-Greedy,1,10,2.0,5,46,0.438459
A,RILP-Greedy,1,10,2.0,5,47,0.438293
A,RILP-Greedy,1,10,2.0,5,48,0.438365
A,RILP-Greedy,1,10,2.0,5,49,0.438517
A,RILP-Greedy,1,10,2.0,5,50,0.438314
A,RILP-Greedy,1,10,2.0,5,51,0.438208
A,Nam2023b,1,10,2.0,5,42,0.291326
A,Nam2023b,1,10,2.0,5,43,0.291342
A,Nam2023b,1,10,2.0,5,44,0.291302
A,Nam2023b,1,10,2.0,5,45,0.291472
A,Nam2023b,1,10,2.0,5,46,0.291521
A,Nam2023b,1,10,2.0,5,47,0.291313
A,Nam2023b,1,10,2.0,5,48,0.29125
A,Nam2023b,1,10,2.0,5,49,0.291488
A,Nam2023b,1,10,2.0,5,50,0.291399
A,Nam2023b,1,10,2.0,5,51,0.291466
A,Nam2025,1,10,2.0,5,42,0.438597
A,Nam2025,1,10,2.0,5,43,0.438309
A,Nam2025,1,10,2.0,5,44,0.43795
A,Nam2025,1,10,2.0,5,45,0.438401
A,Nam2025,1,10,2.0,5,46,0.438459
A,Nam2025,1,10,2.0,5,47,0.438293
A,Nam2025,1,10,2.0,5,48,0.438365
A,Nam2025,1,10,2.0,5,49,0.438517
A,Nam2025,1,10,2.0,5,50,0.438314
A,Nam2025,1,10,2.0,5,51,0.438208
A,Youn2026,1,10,2.0,5,42,0.438597
A,Youn2026,1,10,2.0,5,43,0.438309
A,Youn2026,1,10,2.0,5,44,0.43795
A,Youn2026,1,10,2.0,5,45,0.438401
A,Youn2026,1,10,2.0,5,46,0.438459
A,Youn2026,1,10,2.0,5,47,0.438293
A,Youn2026,1,10,2.0,5,48,0.438365
A,Youn2026,1,10,2.0,5,49,0.438517
A,Youn2026,1,10,2.0,5,50,0.438314
A,Youn2026,1,10,2.0,5,51,0.438208
A,V2I-Base,1,10,2.0,5,42,0.438597
A,V2I-Base,1,10,2.0,5,43,0.438309
A,V2I-Base,1,10,2.0,5,44,0.43795
A,V2I-Base,1,10,2.0,5,45,0.438401
A,V2I-Base,1,10,2.0,5,46,0.438459
A,V2I-Base,1,10,2.0,5,47,0.438293
A,V2I-Base,1,10,2.0,5,48,0.438365
A,V2I-Base,1,10,2.0,5,49,0.438517
A,V2I-Base,1,10,2.0,5,50,0.438314
A,V2I-Base,1,10,2.0,5,51,0.438208
A,V2V-Base,1,10,2.0,5,42,0.999052
A,V2V-Base,1,10,2.0,5,43,0.999
A,V2V-Base,1,10,2.0,5,44,0.998974
A,V2V-Base,1,10,2.0,5,45,0.999006
A,V2V-Base,1,10,2.0,5,46,0.999085
