Model,density_bin,delay,traffic,cache_hit
LR,"(22.5, 25.0]",0.7364459930313589,80.84552845528455,0.7244424684326852
LSTM,"(5.0, 7.5]",0.8699673202614379,78.70806100217865,0.6966937829809439
LSTM,"(7.5, 10.0]",0.7810204081632653,71.73214285714286,0.7052354565579848
LSTM,"(10.0, 12.5]",0.8602251407129456,79.35834896810506,0.6813183671215352
LSTM,"(12.5, 15.0]",0.8108083140877598,71.8960739030023,0.6961936058144653
LSTM,"(15.0, 17.5]",0.867716894977169,75.9269406392694,0.6825838648845707
LSTM,"(17.5, 20.0]",0.8104309252217998,75.51837769328263,0.68455310904131
LSTM,"(20.0, 22.5]",0.784797794117647,69.36029411764706,0.6875349134412129
LSTM,"(22.5, 25.0]",0.7905574912891987,70.77351916376307,0.7016466990993351
MLP,"(5.0, 7.5]",1.016525054466231,104.10239651416121,0.6406349408797074
MLP,"(7.5, 10.0]",0.8593622448979592,86.28826530612245,0.6680830313883472
MLP,"(10.0, 12.5]",0.9581988742964354,99.09193245778611,0.6445079300036681
MLP,"(12.5, 15.0]",0.9200692840646651,92.364896073903,0.6458574276588527
MLP,"(15.0, 17.5]",0.9555136986301369,92.92922374429224,0.6455620135179682
MLP,"(17.5, 20.0]",0.8750570342205323,90.34220532319392,0.6551248792841634
MLP,"(20.0, 22.5]",0.870735294117647,83.28676470588235,0.6606326474603751
MLP,"(22.5, 25.0]",0.9232984901277584,91.1335656213705,0.6478888383625466
NGBoost,"(5.0, 7.5]",0.7785511982570806,110.9673202614379,0.7205580773002864
NGBoost,"(7.5, 10.0]",0.6514923469387754,101.84948979591837,0.7363141076706331
NGBoost,"(10.0, 12.5]",0.7323827392120076,102.61163227016885,0.7336754388781135
NGBoost,"(12.5, 15.0]",0.6928752886836027,100.7782909930716,0.7281091243588361
NGBoost,"(15.0, 17.5]",0.7418721461187214,103.837899543379,0.7279627834622884
NGBoost,"(17.5, 20.0]",0.6912801013941697,106.49683143219265,0.7304084536125242
NGBoost,"(20.0, 22.5]",0.6488051470588235,98.79779411764706,0.7431557006554501
NGBoost,"(22.5, 25.0]",0.7034262485481998,104.69221835075494,0.726481212106611
RF,"(5.0, 7.5]",0.6758387799564269,71.94771241830065,0.7953901843922864
RF,"(7.5, 10.0]",0.5692984693877551,66.4438775510204,0.8170888203568348
RF,"(10.0, 12.5]",0.6607129455909945,67.07317073170732,0.7947381505413328
RF,"(12.5, 15.0]",0.6115242494226328,65.21247113163972,0.8032239709002345
RF,"(15.0, 17.5]",0.6770662100456621,68.78767123287672,0.7953722472891998
RF,"(17.5, 20.0]",0.6036375158428391,70.09125475285171,0.8037156774803338
RF,"(20.0, 22.5]",0.5643198529411765,64.0845588235294,0.8097534115773908
RF,"(22.5, 25.0]",0.6012891986062718,67.66318234610918,0.8034134942311847
ResNet,"(5.0, 7.5]",0.27866013071895424,37.75816993464052,0.8897663937903537
ResNet,"(7.5, 10.0]",0.2517219387755102,36.41836734693877,0.8940140545229336
ResNet,"(10.0, 12.5]",0.3021388367729831,40.10506566604128,0.8783912048794223
ResNet,"(12.5, 15.0]",0.2642725173210162,40.10161662817552,0.8905067129235515
ResNet,"(15.0, 17.5]",0.27073059360730595,38.06164383561644,0.8879730115123754
ResNet,"(17.5, 20.0]",0.2678960709759189,39.868187579214194,0.8893088511042951
ResNet,"(20.0, 22.5]",0.26060661764705884,39.41544117647059,0.8885329675047866
