Model,Round,delay,traffic,cache_hit
RF,10,0.6331100000000001,68.512,0.7988136111858529
RF,11,0.67013,66.166,0.7974153036468247
RF,12,0.6131,67.882,0.8017478522849915
RF,13,0.56014,61.502,0.8123734235936451
RF,14,0.61041,66.246,0.8043935055771936
RF,15,0.6640199999999999,66.408,0.7910224041101225
RF,16,0.65203,69.998,0.7994041977545215
RF,17,0.6455700000000001,67.588,0.8000846972432064
RF,18,0.67014,73.754,0.7939220233342206
RF,19,0.63439,67.504,0.8021210146962943
RF,20,0.6068,62.776,0.8031837557320224
RF,21,0.64298,69.204,0.7930227769380097
RF,22,0.64224,71.178,0.7897300033137343
RF,23,0.67093,69.248,0.8068135082752592
RF,24,0.60645,65.824,0.8022271310618925
RF,25,0.67572,72.686,0.796094871314754
RF,26,0.58063,62.114,0.81379068158601
RF,27,0.59263,67.174,0.8109421484894279
RF,28,0.7070299999999999,74.062,0.7893697939157283
RF,29,0.6506000000000001,68.832,0.7974174654757238
RF,30,0.6244500000000001,71.018,0.7984315625534292
RF,31,0.5596607869742198,63.83446404341927,0.8081691402017989
ResNet,0,0.26976999999999995,37.164,0.8878173847856978
ResNet,1,0.26680000000000004,37.528,0.8872684264445655
ResNet,2,0.28064,37.72,0.8849131335090799
ResNet,3,0.29273000000000005,39.616,0.8852466417360959
ResNet,4,0.29813,39.09,0.8812651752813744
ResNet,5,0.25704000000000005,36.538,0.8909069027233952
ResNet,6,0.29873,38.698,0.8827352552489655
ResNet,7,0.26122,39.508,0.8903097074686992
ResNet,8,0.27902,36.59,0.8853234212642488
ResNet,9,0.29192,43.292,0.8816023549499649
ResNet,10,0.27082999999999996,37.998,0.8861727075020452
ResNet,11,0.29112,36.734,0.8862716657004032
ResNet,12,0.26056999999999997,39.044,0.8909411911113804
ResNet,13,0.26984,36.664,0.8897271505267721
ResNet,14,0.28166,38.502,0.8864845787457858
ResNet,15,0.29054,40.992,0.8817306650153415
ResNet,16,0.27946,39.078,0.8882027711791859
ResNet,17,0.27713,37.054,0.886506166524597
ResNet,18,0.28128000000000003,38.742,0.8867015133329443
ResNet,19,0.30011,39.336,0.8812201916227365
ResNet,20,0.27467,37.734,0.8873220836884262
ResNet,21,0.28145,39.698,0.8829987251239906
ResNet,22,0.26521,40.112,0.889420794912412
ResNet,23,0.29318,40.536,0.8866594214941184
ResNet,24,0.27098,37.846,0.887905325445047
ResNet,25,0.27815,40.592,0.8884790965601939
ResNet,26,0.26721,36.56,0.8887223876212098
ResNet,27,0.23964000000000002,37.058,0.8984845748724604
ResNet,28,0.27915,40.162,0.8899713719020098
ResNet,29,0.28552,36.852,0.884792870569846
ResNet,30,0.28735000000000005,40.338,0.8824744592595755
ResNet,31,0.2869470827679783,37.07734056987788,0.8814691766594552
ST-MBAN,0,0.24176000000000003,37.204,0.8985815745292437
ST-MBAN,1,0.2409,35.974,0.8963046139205156
